period,stateid,stateDescription,sectorid,sectorName,sales,sales-units,sector
2011-05-01,OH,Ohio,RES,residential,3666.34083,million kilowatt hours,RES
2011-04-01,OH,Ohio,RES,residential,3427.47344,million kilowatt hours,RES
2011-03-01,OH,Ohio,RES,residential,4265.36667,million kilowatt hours,RES
2011-02-01,OH,Ohio,RES,residential,4723.78156,million kilowatt hours,RES
2011-01-01,OH,Ohio,RES,residential,6061.31182,million kilowatt hours,RES
2010-12-01,OH,Ohio,RES,residential,5511.36562,million kilowatt hours,RES
2010-11-01,OH,Ohio,RES,residential,3679.78352,million kilowatt hours,RES
2010-10-01,OH,Ohio,RES,residential,3330.98041,million kilowatt hours,RES
2010-09-01,OH,Ohio,RES,residential,4066.32502,million kilowatt hours,RES
2010-08-01,OH,Ohio,RES,residential,5719.20741,million kilowatt hours,RES
2010-07-01,OH,Ohio,RES,residential,5785.57899,million kilowatt hours,RES
2010-06-01,OH,Ohio,RES,residential,4632.88208,million kilowatt hours,RES
2010-05-01,OH,Ohio,RES,residential,3405.8378,million kilowatt hours,RES
2010-04-01,OH,Ohio,RES,residential,3146.0834,million kilowatt hours,RES
2010-03-01,OH,Ohio,RES,residential,4284.37153,million kilowatt hours,RES
2010-02-01,OH,Ohio,RES,residential,4956.02228,million kilowatt hours,RES
2010-01-01,OH,Ohio,RES,residential,5955.93894,million kilowatt hours,RES
2009-12-01,OH,Ohio,RES,residential,5169.93801,million kilowatt hours,RES
2009-11-01,OH,Ohio,RES,residential,3649.13532,million kilowatt hours,RES
2009-10-01,OH,Ohio,RES,residential,3514.87319,million kilowatt hours,RES
2009-09-01,OH,Ohio,RES,residential,3713.87348,million kilowatt hours,RES
2009-08-01,OH,Ohio,RES,residential,4817.90152,million kilowatt hours,RES
2009-07-01,OH,Ohio,RES,residential,4446.24013,million kilowatt hours,RES
2009-06-01,OH,Ohio,RES,residential,4091.13157,million kilowatt hours,RES
2009-05-01,OH,Ohio,RES,residential,3300.37584,million kilowatt hours,RES
2009-04-01,OH,Ohio,RES,residential,3422.97338,million kilowatt hours,RES
2009-03-01,OH,Ohio,RES,residential,4313.10175,million kilowatt hours,RES
2009-02-01,OH,Ohio,RES,residential,4770.10617,million kilowatt hours,RES
2009-01-01,OH,Ohio,RES,residential,6195.51166,million kilowatt hours,RES
2008-12-01,OH,Ohio,RES,residential,5521.81635,million kilowatt hours,RES
2008-11-01,OH,Ohio,RES,residential,3984.50458,million kilowatt hours,RES
2008-10-01,OH,Ohio,RES,residential,3363.94163,million kilowatt hours,RES
2008-09-01,OH,Ohio,RES,residential,3894.60566,million kilowatt hours,RES
2008-08-01,OH,Ohio,RES,residential,5018.7163,million kilowatt hours,RES
2008-07-01,OH,Ohio,RES,residential,5215.12196,million kilowatt hours,RES
2008-06-01,OH,Ohio,RES,residential,4328.78999,million kilowatt hours,RES
2008-05-01,OH,Ohio,RES,residential,3139.52942,million kilowatt hours,RES
2008-04-01,OH,Ohio,RES,residential,3450.70953,million kilowatt hours,RES
2008-03-01,OH,Ohio,RES,residential,4850.75244,million kilowatt hours,RES
2008-02-01,OH,Ohio,RES,residential,5029.97305,million kilowatt hours,RES
2008-01-01,OH,Ohio,RES,residential,5612.1381,million kilowatt hours,RES
2007-12-01,OH,Ohio,RES,residential,5103.53968,million kilowatt hours,RES
2007-11-01,OH,Ohio,RES,residential,3726.35058,million kilowatt hours,RES
2007-10-01,OH,Ohio,RES,residential,3727.36428,million kilowatt hours,RES
2007-09-01,OH,Ohio,RES,residential,4489.60436,million kilowatt hours,RES
2007-08-01,OH,Ohio,RES,residential,5682.21392,million kilowatt hours,RES
2007-07-01,OH,Ohio,RES,residential,4953.65818,million kilowatt hours,RES
2007-06-01,OH,Ohio,RES,residential,4474.90784,million kilowatt hours,RES
2007-05-01,OH,Ohio,RES,residential,3581.98302,million kilowatt hours,RES
2007-04-01,OH,Ohio,RES,residential,3582.09704,million kilowatt hours,RES
2007-03-01,OH,Ohio,RES,residential,4585.62677,million kilowatt hours,RES
2007-02-01,OH,Ohio,RES,residential,5195.16935,million kilowatt hours,RES
2007-01-01,OH,Ohio,RES,residential,5273.24396,million kilowatt hours,RES
2006-12-01,OH,Ohio,RES,residential,4779.62337,million kilowatt hours,RES
2006-11-01,OH,Ohio,RES,residential,3998.31182,million kilowatt hours,RES
2006-10-01,OH,Ohio,RES,residential,3472.82241,million kilowatt hours,RES
2006-09-01,OH,Ohio,RES,residential,3486.53193,million kilowatt hours,RES
2006-08-01,OH,Ohio,RES,residential,5631.57248,million kilowatt hours,RES
2006-07-01,OH,Ohio,RES,residential,5472.46801,million kilowatt hours,RES
2006-06-01,OH,Ohio,RES,residential,4110.75603,million kilowatt hours,RES
2006-05-01,OH,Ohio,RES,residential,3232.94638,million kilowatt hours,RES
2006-04-01,OH,Ohio,RES,residential,3336.94791,million kilowatt hours,RES
2006-03-01,OH,Ohio,RES,residential,4486.1807,million kilowatt hours,RES
2006-02-01,OH,Ohio,RES,residential,4284.39549,million kilowatt hours,RES
2006-01-01,OH,Ohio,RES,residential,5082.67544,million kilowatt hours,RES
2005-12-01,OH,Ohio,RES,residential,5347.5459,million kilowatt hours,RES
2005-11-01,OH,Ohio,RES,residential,3793.80292,million kilowatt hours,RES
2005-10-01,OH,Ohio,RES,residential,3676.00702,million kilowatt hours,RES
2005-09-01,OH,Ohio,RES,residential,4215.74542,million kilowatt hours,RES
2005-08-01,OH,Ohio,RES,residential,5691.00139,million kilowatt hours,RES
2005-07-01,OH,Ohio,RES,residential,5667.70072,million kilowatt hours,RES
2005-06-01,OH,Ohio,RES,residential,4510.35822,million kilowatt hours,RES
2005-05-01,OH,Ohio,RES,residential,3295.25532,million kilowatt hours,RES
2005-04-01,OH,Ohio,RES,residential,3440.79199,million kilowatt hours,RES
2005-03-01,OH,Ohio,RES,residential,4492.16394,million kilowatt hours,RES
2005-02-01,OH,Ohio,RES,residential,4394.618,million kilowatt hours,RES
2005-01-01,OH,Ohio,RES,residential,5379.25316,million kilowatt hours,RES
2004-12-01,OH,Ohio,RES,residential,5038.33008,million kilowatt hours,RES
2004-11-01,OH,Ohio,RES,residential,3544.26923,million kilowatt hours,RES
2004-10-01,OH,Ohio,RES,residential,3323.10706,million kilowatt hours,RES
2004-09-01,OH,Ohio,RES,residential,3892.44386,million kilowatt hours,RES
2004-08-01,OH,Ohio,RES,residential,4452.70333,million kilowatt hours,RES
2004-07-01,OH,Ohio,RES,residential,4786.34018,million kilowatt hours,RES
2004-06-01,OH,Ohio,RES,residential,4104.39242,million kilowatt hours,RES
2004-05-01,OH,Ohio,RES,residential,3239.49391,million kilowatt hours,RES
2004-04-01,OH,Ohio,RES,residential,3415.89474,million kilowatt hours,RES
2004-03-01,OH,Ohio,RES,residential,4162.00576,million kilowatt hours,RES
2004-02-01,OH,Ohio,RES,residential,4630.49982,million kilowatt hours,RES
2004-01-01,OH,Ohio,RES,residential,5710.5576,million kilowatt hours,RES
2003-12-01,OH,Ohio,RES,residential,4845.5891,million kilowatt hours,RES
2003-11-01,OH,Ohio,RES,residential,3363.36139,million kilowatt hours,RES
2003-10-01,OH,Ohio,RES,residential,3338.12671,million kilowatt hours,RES
2003-09-01,OH,Ohio,RES,residential,3770.53271,million kilowatt hours,RES
2003-08-01,OH,Ohio,RES,residential,4867.95554,million kilowatt hours,RES
2003-07-01,OH,Ohio,RES,residential,4994.0723,million kilowatt hours,RES
2003-06-01,OH,Ohio,RES,residential,3563.08811,million kilowatt hours,RES
2003-05-01,OH,Ohio,RES,residential,3172.11508,million kilowatt hours,RES
2003-04-01,OH,Ohio,RES,residential,3087.25553,million kilowatt hours,RES
2003-03-01,OH,Ohio,RES,residential,4398.90101,million kilowatt hours,RES
2003-02-01,OH,Ohio,RES,residential,4609.84926,million kilowatt hours,RES
2003-01-01,OH,Ohio,RES,residential,5609.73127,million kilowatt hours,RES
2002-12-01,OH,Ohio,RES,residential,4792.93846,million kilowatt hours,RES
2002-11-01,OH,Ohio,RES,residential,3587.72179,million kilowatt hours,RES
2002-10-01,OH,Ohio,RES,residential,3454.28671,million kilowatt hours,RES
2002-09-01,OH,Ohio,RES,residential,4155.6936,million kilowatt hours,RES
2002-08-01,OH,Ohio,RES,residential,5380.79151,million kilowatt hours,RES
2002-07-01,OH,Ohio,RES,residential,5754.35729,million kilowatt hours,RES
2002-06-01,OH,Ohio,RES,residential,4202.73337,million kilowatt hours,RES
2002-05-01,OH,Ohio,RES,residential,3155.58163,million kilowatt hours,RES
2002-04-01,OH,Ohio,RES,residential,3446.88739,million kilowatt hours,RES
2002-03-01,OH,Ohio,RES,residential,4119.89923,million kilowatt hours,RES
2002-02-01,OH,Ohio,RES,residential,3685.37626,million kilowatt hours,RES
2002-01-01,OH,Ohio,RES,residential,5127.37575,million kilowatt hours,RES
2001-12-01,OH,Ohio,RES,residential,4063.81103,million kilowatt hours,RES
2001-11-01,OH,Ohio,RES,residential,3319.20528,million kilowatt hours,RES
2001-10-01,OH,Ohio,RES,residential,3196.76976,million kilowatt hours,RES
2001-09-01,OH,Ohio,RES,residential,3445.04715,million kilowatt hours,RES
2001-08-01,OH,Ohio,RES,residential,5084.12532,million kilowatt hours,RES
2001-07-01,OH,Ohio,RES,residential,4808.91952,million kilowatt hours,RES
2001-06-01,OH,Ohio,RES,residential,3561.75234,million kilowatt hours,RES
2001-05-01,OH,Ohio,RES,residential,3108.4299,million kilowatt hours,RES
2001-04-01,OH,Ohio,RES,residential,3278.86713,million kilowatt hours,RES
2001-03-01,OH,Ohio,RES,residential,4034.49837,million kilowatt hours,RES
2001-02-01,OH,Ohio,RES,residential,4011.77856,million kilowatt hours,RES
2001-01-01,OH,Ohio,RES,residential,5432.95864,million kilowatt hours,RES
2025-11-01,OH,Ohio,COM,commercial,4639.9167,million kilowatt hours,COM
2025-10-01,OH,Ohio,COM,commercial,4958.78867,million kilowatt hours,COM
2025-09-01,OH,Ohio,COM,commercial,4931.4316,million kilowatt hours,COM
2025-08-01,OH,Ohio,COM,commercial,5529.46556,million kilowatt hours,COM
2025-07-01,OH,Ohio,COM,commercial,5596.48441,million kilowatt hours,COM
2025-06-01,OH,Ohio,COM,commercial,5008.26713,million kilowatt hours,COM
2025-05-01,OH,Ohio,COM,commercial,4562.08494,million kilowatt hours,COM
2025-04-01,OH,Ohio,COM,commercial,4200.17725,million kilowatt hours,COM
2025-03-01,OH,Ohio,COM,commercial,4243.52883,million kilowatt hours,COM
2025-02-01,OH,Ohio,COM,commercial,4215.59315,million kilowatt hours,COM
2025-01-01,OH,Ohio,COM,commercial,4504.00995,million kilowatt hours,COM
2024-12-01,OH,Ohio,COM,commercial,4211.86089,million kilowatt hours,COM
2024-11-01,OH,Ohio,COM,commercial,4000.5533,million kilowatt hours,COM
2024-10-01,OH,Ohio,COM,commercial,4149.8756,million kilowatt hours,COM
2024-09-01,OH,Ohio,COM,commercial,4359.59526,million kilowatt hours,COM
2024-08-01,OH,Ohio,COM,commercial,4837.71212,million kilowatt hours,COM
2024-07-01,OH,Ohio,COM,commercial,4705.22688,million kilowatt hours,COM
2024-06-01,OH,Ohio,COM,commercial,4474.49069,million kilowatt hours,COM
2024-05-01,OH,Ohio,COM,commercial,4341.3801,million kilowatt hours,COM
2024-04-01,OH,Ohio,COM,commercial,3860.41724,million kilowatt hours,COM
2024-03-01,OH,Ohio,COM,commercial,3870.37585,million kilowatt hours,COM
2024-02-01,OH,Ohio,COM,commercial,3809.96595,million kilowatt hours,COM
2024-01-01,OH,Ohio,COM,commercial,4192.15613,million kilowatt hours,COM
2023-12-01,OH,Ohio,COM,commercial,3851.26283,million kilowatt hours,COM
2023-11-01,OH,Ohio,COM,commercial,3661.98462,million kilowatt hours,COM
2023-10-01,OH,Ohio,COM,commercial,3948.52416,million kilowatt hours,COM
2023-09-01,OH,Ohio,COM,commercial,3894.4844,million kilowatt hours,COM
